Transaction ID,Timestamp,Amount,Payment Method,Store Location,Customer ID,Age,Gender,Income Level,Purchase History,Product ID,Category,Price,Discount,Browsing History,Cart Abandonment Rate,Fraud Flag,High-Risk Indicator,Geolocation,Market Trend
81e3cbd5-1987-48fe-a557-c725bcfb490c,2025-01-01 21:19:25,280.03,Debit Card,Store C,3661fff4-ad69-4bc8-9611-45bf7d2844b1,54,Female,Medium,"[82, 9, 10, 72, 7]",e64e85cd-1206-4680-84fd-37bf047b2d72,Home,29.51,9.96,"['page2', 'page5']",2,0,1,"('35.74788', '-95.36969', 'Muskogee', 'US', 'America/Chicago')",Increasing
da6150ac-9861-4314-8976-f0e51f81f245,2025-01-04 08:24:16,456.83,Debit Card,Store B,5c698b1a-850b-4b6c-9555-a55962d24549,65,Female,Medium,"[58, 73, 21, 78, 12, 91]",1ae96db1-87c9-4ae7-9a76-32d116bb3c2e,Electronics,52.74,0.0,['page2'],0,1,0,"('38.91817', '-78.19444', 'Front Royal', 'US', 'America/New_York')",Decreasing
c9c87273-ab75-461e-a106-a623fc7afd87,2025-01-01 16:49:31,107.43,PayPal,Store B,b86a4b42-d8b3-4115-9095-53c3b27e2198,62,Female,Medium,"[18, 5, 12, 93, 71, 79, 53, 57]",a617ef7f-dd9b-4898-8a04-e803362096fb,Groceries,60.79,0.0,['page4'],2,1,1,"('41.27621', '-72.86843', 'East Haven', 'US', 'America/New_York')",Stable
39878eff-b3dd-4914-bbc7-23fe2ef607ec,2025-01-05 09:49:14,118.59,Debit Card,Store C,d1f4583c-d5f9-4d64-95a8-88b6e5177e42,53,Male,High,"[32, 58, 1, 3, 76, 27, 34, 16, 55]",8a552913-7a30-42e4-806d-52ab97df7428,Toys,11.82,25.66,"['page3', 'page4']",3,1,1,"('44.99012', '-123.02621', 'Keizer', 'US', 'America/Los_Angeles')",Stable
22a33b68-f6c8-46ae-9ca2-2b12ddddbd64,2025-01-03 23:21:30,327.2,Debit Card,Store C,1bc14837-792f-4461-9476-d1cb6dd5978c,43,Male,High,"[84, 24, 19, 54, 48, 96]",89f40f91-9509-41c2-8c8f-8caec776b3e0,Electronics,8.27,16.3,['page3'],4,1,0,"('46.32374', '-120.00865', 'Sunnyside', 'US', 'America/Los_Angeles')",Decreasing
418bab99-51c2-4095-8e95-521a45c555f5,2025-01-05 13:40:50,94.84,Debit Card,Store B,fcdaaa8b-d09f-4cee-85f0-4b5b7fd8d33e,25,Male,High,"[36, 58, 55, 18, 44, 4, 12, 21, 31, 82]",9564da5a-9c62-4956-8416-beac6c4c331c,Electronics,67.9,0.0,['page3'],4,0,0,"('40.24537', '-75.64963', 'Pottstown', 'US', 'America/New_York')",Stable
91540fa9-f0d3-42ed-a9c9-72d5c44201c3,2025-01-05 18:48:41,238.52,Debit Card,Online,0ecd23d9-7d50-4a3a-aa88-d28aa91b93e8,65,Male,High,"[44, 96, 43, 48, 69]",0e166dac-9985-479b-bce8-2c9ea96177ff,Electronics,55.62,41.26,"['page1', 'page3']",0,1,1,"('30.5427', '-97.54667', 'Hutto', 'US', 'America/Chicago')",Stable
d230b999-d5c5-4262-863c-4ec2fe6390c3,2025-01-04 22:45:32,428.15,PayPal,Store C,07de887d-3ce1-4116-853f-cebe474f87a2,25,Female,High,"[30, 52, 78, 65, 16, 3, 76, 63, 69]",5e0de4a3-a7f8-46ee-adfb-aaacc51c73f4,Clothing,35.73,0.0,"['page1', 'page5', 'page3']",1,1,1,"('41.47892', '-87.45476', 'Schererville', 'US', 'America/Chicago')",Decreasing
47c2d617-8764-42bf-8f0b-258aa3c10738,2025-01-01 22:53:40,314.62,Credit Card,Store A,65d58bef-f764-4438-8d8a-cd69ffb25ffc,45,Female,Low,"[13, 19, 4, 98]",802e19b3-2d42-49df-95fe-6a3408936525,Clothing,79.04,17.38,"['page2', 'page1', 'page3']",0,0,1,"('20.88953', '-156.47432', 'Kahului', 'US', 'Pacific/Honolulu')",Increasing
b70c68a0-57c4-4574-b7ae-48d5801aa155,2025-01-01 08:28:21,101.14,Cash,Store A,b31e391c-a5b3-4d89-b7a4-29537002baa3,33,Male,Medium,"[96, 64, 56, 72, 74, 85]",1565d5b5-e346-4fe4-a22e-939c94a515f5,Groceries,92.53,0.0,"['page4', 'page2']",0,0,0,"('35.05266', '-78.87836', 'Fayetteville', 'US', 'America/New_York')",Decreasing
